390,0.16638,0.01830,0.81532
391,0.16635,0.01846,0.81519
392,0.16629,0.01858,0.81513
393,0.16620,0.01867,0.81513
394,0.16609,0.01872,0.81519
395,0.16595,0.01874,0.81531
396,0.16579,0.01872,0.81548
397,0.16561,0.01867,0.81572
398,0.16542,0.01857,0.81601
399,0.16521,0.01844,0.81635
400,0.16499,0.01827,0.81673
401,0.16477,0.01807,0.81716
402,0.16455,0.01784,0.81761
403,0.16433,0.01761,0.81806
404,0.16412,0.01738,0.81849
405,0.16393,0.01718,0.81888
406,0.16376,0.01702,0.81922
407,0.16359,0.01688,0.81953
408,0.16341,0.01676,0.81983
409,0.16320,0.01664,0.82015
410,0.16296,0.01653,0.82052
411,0.16266,0.01640,0.82094
412,0.16233,0.01627,0.82140
413,0.16198,0.01614,0.82188
414,0.16162,0.01603,0.82235
415,0.16126,0.01594,0.82280
416,0.16093,0.01587,0.82320
417,0.16060,0.01583,0.82357
418,0.16028,0.01582,0.82390
419,0.15994,0.01584,0.82422
420,0.15958,0.01589,0.82453
421,0.15920,0.01597,0.82483
422,0.15879,0.01608,0.82513
423,0.15836,0.01622,0.82542
424,0.15793,0.01637,0.82570
425,0.15750,0.01653,0.82596
426,0.15709,0.01671,0.82620
427,0.15669,0.01690,0.82641
428,0.15628,0.01712,0.82660
429,0.15586,0.01738,0.82677
430,0.15540,0.01767,0.82692
431,0.15491,0.01802,0.82706
432,0.15439,0.01841,0.82720
433,0.15384,0.01883,0.82733
434,0.15329,0.01926,0.82745
435,0.15276,0.01968,0.82756
436,0.15225,0.02008,0.82767
437,0.15178,0.02047,0.82775
438,0.15131,0.02086,0.82782
439,0.15085,0.02128,0.82787
440,0.15036,0.02173,0.82790
441,0.14985,0.02225,0.82791
442,0.14929,0.02282,0.82789
443,0.14871,0.02343,0.82785
444,0.14811,0.02409,0.82780
445,0.14749,0.02478,0.82773
446,0.14687,0.02550,0.82763
447,0.14624,0.02625,0.82751
448,0.14560,0.02706,0.82734
449,0.14493,0.02795,0.82712
450,0.14423,0.02895,0.82682
451,0.14349,0.03007,0.82643
452,0.14271,0.03133,0.82597
453,0.14186,0.03271,0.82543
454,0.14095,0.03422,0.82483
455,0.13997,0.03584,0.82419
456,0.13890,0.03759,0.82351
457,0.13775,0.03945,0.82279
458,0.13653,0.04145,0.82202
459,0.13525,0.04359,0.82116
460,0.13392,0.04588,0.82020
461,0.13254,0.04834,0.81912
462,0.13112,0.05098,0.81790
463,0.12964,0.05384,0.81652
464,0.12807,0.05695,0.81498
465,0.12638,0.06036,0.81326
466,0.12456,0.06410,0.81134
467,0.12259,0.06822,0.80919
468,0.12046,0.07275,0.80678
469,0.11818,0.07773,0.80409
470,0.11574,0.08320,0.80106
471,0.11313,0.08922,0.79766
472,0.11034,0.09582,0.79384
473,0.10736,0.10307,0.78956
474,0.10418,0.11103,0.78479
475,0.10078,0.11975,0.77947
476,0.09715,0.12930,0.77354
477,0.09329,0.13971,0.76700
478,0.08923,0.15097,0.75980
479,0.08497,0.16308,0.75195
480,0.08055,0.17601,0.74344
481,0.07599,0.18973,0.73427
482,0.07130,0.20429,0.72441
483,0.06649,0.21974,0.71378
484,0.06155,0.23615,0.70230
485,0.05651,0.25359,0.68990
486,0.05138,0.27212,0.67650
487,0.04622,0.29169,0.66209
488,0.04108,0.31224,0.64668
489,0.03604,0.33365,0.63031
490,0.03117,0.35580,0.61304
491,0.02654,0.37853,0.59493
492,0.02222,0.40175,0.57604
493,0.01827,0.42531,0.55642
494,0.01477,0.44909,0.53614
495,0.01178,0.47294,0.51529
496,0.00933,0.49673,0.49393
497,0.00741,0.52049,0.47210
498,0.00596,0.54424,0.44980
499,0.00490,0.56805,0.42705
500,0.00418,0.59194,0.40387
501,0.00374,0.61593,0.38033
502,0.00364,0.63984,0.35652
503,0.00393,0.66346,0.33260
504,0.00471,0.68656,0.30872
505,0.00605,0.70890,0.28505
506,0.00802,0.73018,0.26180
507,0.01073,0.74993,0.23934
508,0.01424,0.76771,0.21805
509,0.01860,0.78319,0.19821
510,0.02382,0.79618,0.18001
511,0.02983,0.80664,0.16352
512,0.03645,0.81498,0.14857
513,0.04345,0.82161,0.13495
514,0.05062,0.82692,0.12246
515,0.05780,0.83125,0.11095
516,0.06485,0.83484,0.10031
517,0.07183,0.83765,0.09052
518,0.07882,0.83959,0.08158
519,0.08593,0.84060,0.07347
520,0.09322,0.84063,0.06615
521,0.10076,0.83968,0.05957
522,0.10849,0.83786,0.05365
523,0.11636,0.83533,0.04831
524,0.12431,0.83221,0.04349
525,0.13227,0.82861,0.03912
526,0.14020,0.82463,0.03517
527,0.14806,0.82034,0.03160
528,0.15582,0.81580,0.02838
